crop_number,crop_name,percent_season_B,percent_season_C,percent_season_D,KcB,KcC,KcD,KcE,planting_month,planting_day,harvest_month,harvest_day
1.01,Alfalfa (cycle),7,30,100,0.4,1.15,1.15,0.4,6,20,7,20
1.02,Artichokes,6,19,90,0.65,0.65,0.65,0.65,7,1,5,1
1.03,Asparagus,12,25,95,0.25,1,1,0.25,1,1,12,31
1.04,Barley,20,45,75,0.7,1.1,1.1,0.15,11,1,5,31
1.05,Beans (pinto),24,40,91,0.2,0.9,0.9,0.1,6,15,9,30
1.06,Beans (dry),24,40,91,0.2,1,1,0.1,6,15,9,30
1.07,Beans (green),22,56,89,0.8,1,1,0.85,3,1,5,31
1.08,Beets (table),25,60,90,0.3,0.9,0.9,0.9,4,1,6,20
1.09,Broccoli,20,50,83,0.3,1,1,0.8,3,15,7,1
1.1,Cabbage,25,63,88,0.3,1,1,0.85,8,1,11,15
1.11,Carrots,20,50,83,0.85,0.95,0.95,0.8,1,15,5,15
1.12,Celery,15,40,90,0.8,0.95,0.95,0.95,9,15,1,15
1.13,Corn (grain),20,45,75,0.2,1.05,1.05,0.6,5,1,9,30
1.14,Corn (silage),20,45,100,0.2,1,1,1,5,1,8,15
1.15,Cotton,15,25,85,0.35,0.95,0.95,0.5,5,15,10,15
1.16,Cucumber ,19,47,85,0.8,0.85,0.85,0.85,3,15,6,15
1.17,Eggplant,23,54,85,0.8,0.9,0.9,0.85,4,1,11,15
1.18,Flax,17,45,80,0.2,1.1,1.1,0.25,4,1,7,31
1.19,Grains (small),20,45,75,0.33,1.1,1.1,0.15,11,1,5,31
1.2,Grains (winter),20,45,75,0.33,1.05,1.05,0.15,11,1,5,31
1.21,Lentil,24,40,91,0.2,1,1,0.1,6,15,9,30
1.22,Lettuce,25,65,90,0.8,0.8,0.8,0.8,3,15,7,15
1.23,Melon,21,50,83,0.8,0.95,0.95,0.75,4,1,11,15
1.24,Millet,14,36,75,0.3,1,1,0.3,11,1,5,31
1.25,Mustard,25,63,88,0.3,1,1,0.85,8,1,11,15
1.26,Oats,20,45,75,0.33,1.1,1.1,0.15,11,1,5,31
1.27,Onion (dry),10,26,75,0.55,1.2,1.2,0.55,3,1,10,1
1.28,Onion (green),25,70,90,0.55,1.2,1.2,0.55,3,1,8,1
1.29,Peas,20,47,83,0.2,1,1,1,3,1,5,31
1.3,Peppers,20,45,85,0.8,1,1,0.85,3,1,8,31
1.31,Potato,20,45,78,0.8,1.1,1.1,0.7,4,15,8,15
1.32,Radishes,20,45,85,0.8,0.85,0.85,0.75,4,1,5,1
1.33,Rice,18,24,78,1.1,1,1,0.6,5,1,9,27
1.34,Safflower,17,45,80,0.2,1.05,1.05,0.25,4,1,7,31
1.35,Sisal,17,45,80,0.2,1.05,1.05,0.25,4,1,7,31
1.36,Sorghum,16,42,75,0.2,1.05,1.05,0.5,4,1,11,15
1.37,Spinach,33,67,92,0.8,0.95,0.95,0.9,11,15,1,31
1.38,Squash,20,50,80,0.52,0.9,0.9,0.7,1,15,4,15
1.39,Strawberries w/mulch,15,45,80,0.2,0.7,0.7,0.7,5,1,9,30
1.4,Sugarbeet,15,45,80,0.2,1.15,1.15,0.95,3,15,9,30
1.41,Sunflower,20,45,80,0.2,1.1,1.1,0.4,5,1,9,10
1.42,Sweet Potatoes,20,45,78,0.8,1.1,1.1,0.7,4,15,8,15
1.43,Tomato,25,50,80,0.3,1.1,1.1,0.65,4,1,8,31
1.44,Vegetables,33,67,92,0.8,0.9,0.9,0.9,3,1,8,31
1.45,Wheat,20,45,75,0.33,1.1,1.1,0.15,11,1,5,31
1.46,Watermelon,20,50,75,0.8,1,1,0.75,4,1,11,15
2.01,Alfalfa (annual),25,50,75,1,1,1,1,1,1,12,31
2.02,Improved Pasture,25,50,75,0.95,0.95,0.95,0.95,1,1,12,31
2.03,Turfgrass (cool-season),25,50,75,0.8,0.8,0.8,0.8,1,1,12,31
2.04,Turfgrass (warm-season),25,50,75,0.6,0.6,0.6,0.6,1,1,12,31
3.01,Almonds,0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.02,Apple,0,50,75,0.55,1.05,1.05,0.8,4,1,11,15
3.03,Grapes (wine),0,25,75,0.45,0.8,0.8,0.35,4,1,10,1
3.04,Grapes (table),0,25,75,0.45,1.1,1.1,0.35,3,15,9,10
3.05,Grapes (raisin),0,25,75,0.45,1.1,1.1,0.35,3,15,9,10
3.06,Kiwifruit,0,22,67,0.3,1.05,1.05,1,5,1,10,31
3.07,Stone fruits,0,50,90,0.55,1.15,1.15,0.65,3,1,10,15
3.08,Walnuts,0,50,75,0.55,1.15,1.15,0.8,4,1,11,15
4.01,Avocado,0,33,67,0.7,0.7,0.7,0.7,1,1,12,31
4.02,Citrus (>3.8 m tall),0,33,67,1,1,1,1,1,1,12,31
4.03,Citrus (<3.0 m tall),0,33,67,0.7,0.7,0.7,0.7,1,1,12,31
4.04,Date Palm,0,33,67,0.95,0.95,0.95,0.95,1,1,12,31
4.05,Evergreen,0,33,67,1.15,1.15,1.15,1.15,1,1,12,31
4.06,Olives,0,33,67,0.7,0.55,0.55,0.7,1,1,12,31
1.47,Sudan grass,33,67,87,0.5,1.15,1.15,1.1,7,18,9,30
3.48,Sugarcane,0,17,68,0.4,1.25,1.25,0.75,5,15,5,14